run,6,random,8000,0,15538.53436
run,6,random,8000,1,15534.7926
run,6,random,8000,2,15534.66008
run,6,random,8000,3,15533.77536
run,6,random,8000,4,15534.48995
run,6,random,32000,0,15534.39749
run,6,random,32000,1,15533.77472
run,6,random,32000,2,15534.55336
run,6,random,32000,3,15533.77536
run,6,random,32000,4,15534.48995
run,6,climb,500,0,15535.42873
run,6,climb,500,1,15544.50883
run,6,climb,500,2,15544.50926
run,6,climb,500,3,15534.34955
run,6,climb,500,4,15536.30884
run,6,climb,2000,0,15533.75337
run,6,climb,2000,1,15533.77208
run,6,climb,2000,2,15533.77911
run,6,climb,2000,3,15533.74606
run,6,climb,2000,4,15533.78843
run,6,climb,8000,0,15533.75337
run,6,climb,8000,1,15533.74105
run,6,climb,8000,2,15533.74457
run,6,climb,8000,3,15533.74606
run,6,climb,8000,4,15533.74016
run,6,climb,32000,0,15533.74439
run,6,climb,32000,1,15533.74105
run,6,climb,32000,2,15533.74457
run,6,climb,32000,3,15533.74606
run,6,climb,32000,4,15533.74016
run,6,anneal,500,0,15539.43883
run,6,anneal,500,1,15537.20181
run,6,anneal,500,2,15534.88756
run,6,anneal,500,3,15544.40949
run,6,anneal,500,4,15541.34499
run,6,anneal,2000,0,15534.93716
run,6,anneal,2000,1,15545.39006
run,6,anneal,2000,2,15539.58516
run,6,anneal,2000,3,15534.11955
run,6,anneal,2000,4,15533.98904
run,6,anneal,8000,0,15533.74865
run,6,anneal,8000,1,15534.90085
run,6,anneal,8000,2,15534.01208
run,6,anneal,8000,3,15534.18577
run,6,anneal,8000,4,15534.02628
run,6,anneal,32000,0,15533.75368
run,6,anneal,32000,1,15533.74409
run,6,anneal,32000,2,15533.8141
run,6,anneal,32000,3,15533.83247
run,6,anneal,32000,4,15533.79092
run,6,ga,500,0,15538.14811
run,6,ga,500,1,15540.44923
run,6,ga,500,2,15534.78535
run,6,ga,500,3,15536.60517
run,6,ga,500,4,15537.0041
run,6,ga,2000,0,15534.05689
run,6,ga,2000,1,15534.56493
run,6,ga,2000,2,15533.77436
run,6,ga,2000,3,15533.75939
run,6,ga,2000,4,15534.10725
run,6,ga,8000,0,15533.76667
run,6,ga,8000,1,15533.76546
run,6,ga,8000,2,15533.76786
run,6,ga,8000,3,15534.17469
run,6,ga,8000,4,15533.84067
run,6,ga,32000,0,15533.82545
run,6,ga,32000,1,15533.77863
run,6,ga,32000,2,15533.76786
run,6,ga,32000,3,15533.7419
run,6,ga,32000,4,15533.74432
feas,6,random,10,0
feas,6,climb,10,0
feas,6,anneal,10,0
feas,6,ga,10,0
meta,7,24,1,31,129.5,31969.92333,38166.75667,3,0
feas,7,human,3,0
feas,7,centroid,4,0
run,7,random,500,0,15305.53903
run,7,random,500,1,15286.74197
run,7,random,500,2,15253.16547
run,7,random,500,3,15286.62995
run,7,random,500,4,15287.51746
run,7,random,2000,0,15255.63287
run,7,random,2000,1,15272.16105
run,7,random,2000,2,15253.16547
run,7,random,2000,3,15284.86919
run,7,random,2000,4,15287.51746
run,7,random,8000,0,15255.63287
