lib	alg	dim	median_ratio
OPYTIMIZER	ES	2	0.000563619
OPYTIMIZER	AIWPSO	2	6.55905e-05
OPYTIMIZER	ISA	2	97.1308
OPYTIMIZER	EO	2	0
OPYTIMIZER	AF	2	3755.58
OPYTIMIZER	DOA	2	1.67452e-05
OPYTIMIZER	PIO	2	1.22199
OPYTIMIZER	HHO	2	0.00772917
OPYTIMIZER	BSA	2	0.317494
OPYTIMIZER	TEO	2	1.68514
OPYTIMIZER	FA	2	91.7141
OPYTIMIZER	WWO	2	9.06173e-10
OPYTIMIZER	IWO	2	0.000181666
OPYTIMIZER	KH	2	0.0159784
OPYTIMIZER	FOA	2	0.503308
OPYTIMIZER	RPSO	2	0
OPYTIMIZER	SCA	2	4.41104
OPYTIMIZER	OSA	2	4.48236
OPYTIMIZER	WDO	2	55.8503
OPYTIMIZER	LSA	2	0
OPYTIMIZER	VPSO	2	1.53672e-06
OPYTIMIZER	SBO	2	0.00136432
OPYTIMIZER	GA	2	0.0149648
OPYTIMIZER	MFO	2	0.000425731
OPYTIMIZER	CS	2	0
OPYTIMIZER	FSO	2	9.0466e-08
OPYTIMIZER	NGHS	2	5.86417
OPYTIMIZER	GCO	2	0
OPYTIMIZER	TWO	2	0
OPYTIMIZER	WEO	2	0
OPYTIMIZER	GWO	2	0.0235235
OPYTIMIZER	SAVPSO	2	1.62209e-05
OPYTIMIZER	FFOA	2	28.1294
OPYTIMIZER	AIG	2	7.70643e-05
OPYTIMIZER	BH	2	0.171897
OPYTIMIZER	CI	2	2.88119
OPYTIMIZER	SSA	2	0
OPYTIMIZER	AO	2	1.68908
OPYTIMIZER	MVO	2	0.000761186
mealpy	LevyTWO	2	0.110951
mealpy	OriginalTLO	2	0
mealpy	GWO	2	0.306014
mealpy	OriginalBBO	2	6.53825
mealpy	ABFO	2	2.02227
mealpy	OriginalWHO	2	0.00142084
mealpy	OriginalFFA	2	0.168026
mealpy	BaseSARO	2	0
mealpy	OriginalSMA	2	0.0464673
mealpy	SingleGA	2	24.6541
mealpy	OriginalSSDO	2	1.62633
mealpy	OriginalFPA	2	4.62159e-06
mealpy	OriginalSSO	2	1.85377
mealpy	OriginalMA	2	28.508
mealpy	OriginalCEM	2	0.178696
mealpy	OCRO	2	0.227642
mealpy	OriginalBA	2	50.8846
mealpy	OriginalAEO	2	0
mealpy	OriginalBSO	2	0.161983
mealpy	OriginalBFO	2	8.43207
mealpy	ImprovedSLO	2	0
mealpy	OriginalLCO	2	0
mealpy	OriginalHGS	2	0.000106812
mealpy	BaseALO	2	0.518288
mealpy	CPSO	2	1.36961
mealpy	OriginalEO	2	0
mealpy	DE	2	3.31937
mealpy	ModifiedBA	2	0.0614737
mealpy	BaseTLO	2	0
mealpy	OriginalPFA	2	8.03026
mealpy	BaseFOA	2	110.65
