lib	alg	dim	budget_factor	wins	losses	pairs	p_better	holm_better	p_worse	holm_worse	verdict
NIAPY	BareBonesFireworksAlgorithm	20	500	1088	112	1200	1.15126e-201	1.60025e-199	1	1	better
NIAPY	CuckooSearch	20	500	1166	34	1200	6.22133e-296	1.46823e-293	1	1	better
NIAPY	GeneticAlgorithm	20	500	583	617	1200	0.84384	1	0.170391	1	not shown
NIAPY	ParticleSwarmAlgorithm	20	500	1192	8	1200	0	0	1	1	better
NIAPY	MonkeyKingEvolutionV3	20	500	1110	90	1200	1.85408e-224	2.85529e-222	1	1	better
NIAPY	MonkeyKingEvolutionV2	20	500	1143	57	1200	1.27312e-263	2.46986e-261	1	1	better
NIAPY	SineCosineAlgorithm	20	500	2	1198	1200	1	1	0	0	worse
NIAPY	EvolutionStrategy1p1	20	500	1000	200	1200	1.45191e-128	1.46643e-126	1	1	better
NIAPY	HarrisHawksOptimization	20	500	1176	24	1200	6.02618e-312	1.59091e-309	1	1	better
NIAPY	ParticleSwarmOptimization	20	500	671	529	1200	2.30327e-05	0.00131286	0.999982	1	better
NIAPY	ForestOptimizationAlgorithm	20	500	1140	60	1200	9.26188e-260	1.72271e-257	1	1	better
NIAPY	EnhancedFireworksAlgorithm	20	500	1172	28	1200	2.34187e-305	5.83125e-303	1	1	better
NIAPY	MultiStrategyDifferentialEvolution	20	500	1077	123	1200	4.55567e-191	6.05904e-189	1	1	better
NIAPY	MutatedParticleSwarmOptimization	20	500	1144	56	1200	6.33725e-265	1.26111e-262	1	1	better
NIAPY	ComprehensiveLearningParticleSwarmOptimizer	20	500	1186	14	1200	0	0	1	1	better
NIAPY	KrillHerd	20	500	515	685	1200	1	1	5.13507e-07	0.00012889	worse
NIAPY	FishSchoolSearch	20	500	1110	90	1200	1.85408e-224	2.85529e-222	1	1	better
NIAPY	MutatedCenterUnifiedParticleSwarmOptimization	20	500	1166	34	1200	6.22133e-296	1.46823e-293	1	1	better
NIAPY	MutatedCenterParticleSwarmOptimization	20	500	1144	56	1200	6.33725e-265	1.26111e-262	1	1	better
NIAPY	GlowwormSwarmOptimizationV2	20	500	335	865	1200	1	1	9.85426e-55	2.65079e-52	worse
NIAPY	CatSwarmOptimization	20	500	1162	38	1200	6.48141e-290	1.48424e-287	1	1	better
NIAPY	DifferentialEvolution	20	500	1052	148	1200	1.0765e-168	1.2595e-166	1	1	better
NIAPY	FireworksAlgorithm	20	500	1178	22	1200	2.39493e-315	6.49027e-313	1	1	better
NIAPY	MothFlameOptimizer	20	500	194	1006	1200	1	1	8.36166e-133	2.34126e-130	worse
NIAPY	DynNpMultiStrategyDifferentialEvolution	20	500	1082	118	1200	7.99289e-196	1.09503e-193	1	1	better
NIAPY	EvolutionStrategyML	20	500	1126	74	1200	1.36526e-242	2.27998e-240	1	1	better
NIAPY	GreyWolfOptimizer	20	500	1155	45	1200	8.01255e-280	1.75475e-277	1	1	better
NIAPY	HarmonySearchV1	20	500	1113	87	1200	9.47456e-228	1.47803e-225	1	1	better
NIAPY	BeesAlgorithm	20	500	979	221	1200	1.89704e-114	1.80219e-112	1	1	better
NIAPY	GlowwormSwarmOptimizationV1	20	500	344	856	1200	1	1	4.32313e-51	1.1586e-48	worse
NIAPY	GlowwormSwarmOptimizationV3	20	500	332	868	1200	1	1	5.59048e-56	1.50943e-53	worse
NIAPY	LionOptimizationAlgorithm	20	500	1153	47	1200	4.94899e-277	1.05413e-274	1	1	better
NIAPY	ArtificialBeeColonyAlgorithm	20	500	1154	46	1200	2.01373e-278	4.34966e-276	1	1	better
NIAPY	AgingNpDifferentialEvolution	20	500	745	455	1200	2.57297e-17	1.85254e-15	1	1	better
